customer_id,gender,age,city_tier,signup_date,acquisition_channel
1,Male,20.0,Tier 1,2024-10-29,Ads
2,Female,23.0,Tier 1,2025-01-17,Email
3,Female,38.0,Tier 1,2024-08-16,Referral
4,Female,23.0,Tier 1,2024-03-01,Ads
5,Male,46.0,Tier 2,2023-12-03,Organic
6,Male,34.0,Tier 3,2024-10-13,Organic
7,Male,35.0,Tier 2,2023-06-05,Organic
8,Female,,Tier 3,2024-09-14,Organic
9,Female,42.0,Tier 2,2023-08-25,Email
10,Female,42.0,Tier 2,2023-04-30,Organic
11,Male,38.0,Tier 1,2023-05-01,Referral
12,Other,40.0,Tier 1,2023-08-09,Ads
13,Female,32.0,Tier 3,2023-04-04,Email
14,Male,40.0,Tier 3,2024-05-23,Organic
15,Male,31.0,Tier 1,2024-04-27,Referral
16,Male,35.0,Tier 1,2023-10-08,Ads
17,Male,32.0,Tier 2,2023-12-03,Ads
18,Female,30.0,Tier 1,2024-12-12,Email
19,Male,28.0,Tier 1,2023-06-24,Ads
20,Male,39.0,Tier 3,2023-12-03,Organic
21,Female,48.0,Tier 2,2024-05-28,Organic
22,Male,46.0,Tier 2,2025-01-29,Referral
23,Male,22.0,Tier 3,2023-07-23,Referral
24,Male,47.0,Tier 2,2024-04-24,Ads
25,Male,31.0,Tier 2,2024-10-14,Email
26,Female,41.0,Tier 1,2024-11-04,Organic
27,Male,25.0,Tier 1,2023-08-01,Ads
28,Female,36.0,Tier 2,2024-03-23,Email
29,Female,38.0,Tier 1,2024-09-23,Ads
30,Male,20.0,Tier 1,2024-02-21,Email
31,Female,41.0,Tier 1,2025-01-15,Referral
32,Male,48.0,Tier 1,2024-06-26,Organic
33,Male,33.0,Tier 1,2024-03-12,Referral
34,Female,48.0,Tier 2,2023-05-24,Organic
35,Other,33.0,Tier 1,2024-08-08,Email
36,Female,43.0,Tier 1,2023-05-16,Email
37,Male,12.0,Tier 2,2023-11-29,Ads
38,Male,59.0,Tier 3,2024-10-12,Email
39,Female,49.0,Tier 1,2024-06-30,Email
40,Male,32.0,Tier 2,2024-12-19,Ads
41,Male,,Tier 2,2024-10-20,Ads
42,Female,37.0,Tier 2,2024-08-05,Organic
43,Male,20.0,Tier 1,2023-11-01,Email
44,Female,39.0,Tier 3,2023-06-22,Ads
45,Male,39.0,Tier 2,2023-11-18,Organic
46,Female,25.0,Tier 3,2024-01-19,Organic
47,Male,46.0,Tier 1,2023-06-29,Referral
48,Female,43.0,Tier 2,2024-10-04,Ads
49,Female,44.0,Tier 2,2024-03-01,Referral
50,Male,35.0,Tier 1,2025-02-02,Organic
51,Other,20.0,Tier 1,2024-07-31,Email
52,Female,44.0,Tier 2,2024-09-26,Ads
53,Female,32.0,Tier 1,2023-06-27,Ads
54,Female,21.0,Tier 2,2023-04-10,Organic
55,Female,48.0,Tier 1,2023-10-02,Ads
56,Female,55.0,Tier 1,2023-08-24,Organic
57,Male,34.0,Tier 2,2023-11-18,Ads
58,Male,,Tier 1,2023-07-23,Ads
59,Male,35.0,Tier 3,2023-02-07,Email
60,Male,31.0,Tier 3,2023-07-07,Organic
61,Male,28.0,Tier 2,2023-06-10,Referral
62,Male,51.0,Tier 3,2024-11-09,Email
63,Female,27.0,Tier 3,2024-04-16,Organic
64,Male,42.0,Tier 1,2023-03-13,Ads
65,Male,29.0,Tier 3,2023-11-02,Organic
66,Female,30.0,Tier 1,2023-12-26,Organic
67,Male,45.0,Tier 1,2024-04-13,Email
68,Female,31.0,Tier 2,2023-03-14,Organic
69,Male,30.0,Tier 2,2023-12-13,Ads
70,Other,,Tier 1,2024-08-19,Referral
71,Female,50.0,Tier 1,2023-07-11,Referral
72,Male,41.0,Tier 2,2023-08-29,Ads
73,Male,28.0,Tier 1,2023-06-20,Referral
74,Female,29.0,Tier 2,2024-11-13,Email
75,Female,35.0,Tier 2,2023-03-03,Organic
76,Female,38.0,Tier 1,2025-01-20,Organic
77,Female,25.0,Tier 1,2024-05-29,Referral
78,Male,42.0,Tier 2,2024-05-17,Referral
79,Male,35.0,Tier 1,2024-02-14,Referral
80,Male,17.0,Tier 1,2023-07-31,Email
81,Female,25.0,Tier 1,2024-04-04,Organic
82,Female,29.0,Tier 1,2024-08-15,Organic
83,Male,34.0,Tier 1,2024-09-06,Ads
84,Male,53.0,Tier 2,2023-05-05,Ads
85,Male,37.0,Tier 2,2025-01-11,Email
86,Male,26.0,Tier 2,2024-05-20,Organic
87,Female,37.0,Tier 3,2023-04-27,Organic
88,Female,31.0,Tier 1,2024-04-22,Ads
89,Female,38.0,Tier 1,2023-04-01,Ads
90,Male,40.0,Tier 2,2023-02-13,Organic
91,Male,47.0,Tier 2,2023-10-21,Email
92,Female,34.0,Tier 2,2023-12-25,Referral
93,Female,51.0,Tier 2,2023-12-15,Email
94,Female,44.0,Tier 2,2024-05-28,Organic
95,Female,27.0,Tier 1,2023-07-06,Referral
96,Female,57.0,Tier 2,2023-10-16,Email
97,Female,,Tier 2,2024-08-20,Email
98,Male,26.0,Tier 3,2024-10-09,Organic
99,Male,51.0,Tier 2,2024-03-28,Ads
100,Male,55.0,Tier 2,2024-08-06,Email
101,Male,34.0,Tier 2,2024-01-01,Email
102,Female,29.0,Tier 3,2024-10-16,Ads
103,Male,33.0,Tier 3,2023-02-19,Email
104,Female,42.0,Tier 2,2024-09-26,Email
105,Female,47.0,Tier 2,2023-07-27,Ads
106,Male,40.0,Tier 1,2024-06-18,Organic
107,Male,36.0,Tier 2,2023-05-21,Organic
108,Female,,Tier 2,2025-01-13,Organic
109,Male,31.0,Tier 2,2024-04-19,Referral
110,Male,45.0,Tier 1,2024-09-12,Organic
111,Male,32.0,Tier 2,2023-10-11,Referral
112,Male,,Tier 1,2024-02-15,Referral
113,Female,33.0,Tier 2,2024-04-12,Referral
114,Female,34.0,Tier 1,2024-12-29,Ads
115,Female,31.0,Tier 2,2023-03-10,Referral
116,Female,48.0,Tier 1,2023-11-23,Referral
117,Female,27.0,Tier 1,2024-11-24,Ads
118,Male,27.0,Tier 2,2024-05-31,Email
119,Female,56.0,Tier 1,2023-09-25,Email
120,Female,44.0,Tier 2,2024-05-21,Referral
121,Female,11.0,Tier 3,2023-03-23,Organic
122,Female,29.0,Tier 3,2024-01-15,Email
123,Male,16.0,Tier 1,2023-04-07,Organic
124,Male,25.0,Tier 3,2024-01-02,Ads
125,Male,3.0,Tier 1,2024-08-10,Email
126,Male,33.0,Tier 3,2024-07-19,Ads
127,Female,23.0,Tier 2,2023-04-22,Referral
128,Female,,Tier 1,2023-05-21,Email
129,Male,18.0,Tier 1,2024-06-01,Referral
130,Female,35.0,Tier 1,2024-07-15,Referral
131,Male,30.0,Tier 2,2023-08-04,Ads
132,Male,50.0,Tier 1,2023-07-10,Email
133,Male,49.0,Tier 2,2023-10-02,Email
134,Male,42.0,Tier 2,2023-10-05,Email
135,Female,31.0,Tier 3,2024-09-21,Referral
136,Male,54.0,Tier 3,2023-07-05,Email
137,Female,19.0,Tier 1,2024-04-04,Organic
138,Female,20.0,Tier 2,2023-05-20,Organic
139,Male,34.0,Tier 3,2023-08-22,Referral
140,Other,57.0,Tier 3,2024-10-07,Ads
141,Other,32.0,Tier 1,2024-11-21,Organic
142,Male,33.0,Tier 1,2023-07-23,Ads
143,Female,20.0,Tier 1,2024-01-08,Email
144,Male,44.0,Tier 1,2024-06-01,Organic
145,Male,44.0,Tier 1,2024-05-24,Referral
146,Male,42.0,Tier 1,2023-04-06,Referral
147,Female,28.0,Tier 2,2024-12-07,Ads
148,Female,27.0,Tier 1,2023-03-16,Referral
149,Male,22.0,Tier 2,2023-02-15,Ads
150,Male,35.0,Tier 1,2024-08-16,Ads
151,Female,24.0,Tier 3,2024-09-01,Organic
152,Male,23.0,Tier 3,2024-08-30,Organic
153,Male,30.0,Tier 2,2023-07-20,Referral
154,Female,30.0,Tier 3,2025-01-27,Ads
155,Other,29.0,Tier 1,2023-08-13,Organic
156,Male,39.0,Tier 2,2025-02-04,Email
157,Female,35.0,Tier 1,2024-09-17,Referral
158,Female,32.0,Tier 1,2023-11-16,Referral
159,Male,36.0,Tier 1,2024-08-24,Email
160,Female,25.0,Tier 2,2024-09-02,Email
161,Male,36.0,Tier 1,2024-01-18,Email
162,Female,36.0,Tier 2,2024-05-19,Organic
163,Female,19.0,Tier 1,2025-01-07,Email
164,Female,44.0,Tier 3,2024-01-22,Referral
165,Male,26.0,Tier 2,2023-03-08,Organic
166,Female,35.0,Tier 1,2023-03-25,Ads
167,Male,46.0,Tier 1,2023-08-03,Email
168,Male,44.0,Tier 3,2023-06-28,Referral
169,Male,35.0,Tier 1,2024-12-11,Email
170,Female,31.0,Tier 2,2023-09-29,Ads
171,Female,44.0,Tier 2,2023-07-14,Organic
172,Male,41.0,Tier 1,2023-04-01,Ads
173,Female,28.0,Tier 1,2023-12-27,Organic
174,Male,27.0,Tier 1,2024-12-30,Referral
175,Female,14.0,Tier 1,2023-10-26,Referral
176,Male,36.0,Tier 1,2023-03-06,Referral
177,Female,34.0,Tier 1,2024-02-08,Ads
178,Male,46.0,Tier 1,2023-11-23,Email
179,Female,38.0,Tier 1,2024-02-02,Email
180,Male,48.0,Tier 3,2023-08-17,Ads
181,Male,28.0,Tier 2,2024-11-12,Email
182,Male,46.0,Tier 2,2024-04-23,Ads
183,Female,29.0,Tier 1,2024-08-14,Email
