budget,original_language,popularity,runtime,vote_average,vote_count,release_year,release_month,release_day,release_season,director,hit,primary_genre
237000000,en,150.437577,162.0,7.2,11800,2009,12,10,Winter,James Cameron,1,Action
300000000,en,139.082615,169.0,6.9,4500,2007,5,19,Spring,Gore Verbinski,1,Adventure
245000000,en,107.376788,148.0,6.3,4466,2015,10,26,Fall,Sam Mendes,1,Action
250000000,en,112.31295,165.0,7.6,9106,2012,7,16,Summer,Christopher Nolan,1,Action
260000000,en,43.926995,132.0,6.1,2124,2012,3,7,Spring,Andrew Stanton,0,Action
258000000,en,115.699814,139.0,5.9,3576,2007,5,1,Spring,Sam Raimi,1,Fantasy
260000000,en,48.681969,100.0,7.4,3330,2010,11,24,Fall,Byron Howard,1,Animation
280000000,en,134.279229,141.0,7.3,6767,2015,4,22,Spring,Joss Whedon,1,Action
250000000,en,98.885637,153.0,7.4,5293,2009,7,7,Summer,David Yates,1,Adventure
250000000,en,155.790452,151.0,5.7,7004,2016,3,23,Spring,Zack Snyder,1,Action
270000000,en,57.925623,154.0,5.4,1400,2006,6,28,Summer,Bryan Singer,0,Adventure
200000000,en,107.928811,106.0,6.1,2965,2008,10,30,Fall,Marc Forster,1,Adventure
200000000,en,145.847379,151.0,7.0,5246,2006,6,20,Summer,Gore Verbinski,1,Adventure
255000000,en,49.046956,149.0,5.9,2311,2013,7,3,Summer,Gore Verbinski,0,Action
225000000,en,99.398009,143.0,6.5,6359,2013,6,12,Summer,Zack Snyder,1,Action
225000000,en,53.978602,150.0,6.3,1630,2008,5,15,Spring,Andrew Adamson,0,Adventure
220000000,en,144.448633,143.0,7.4,11776,2012,4,25,Spring,Joss Whedon,1,Science Fiction
380000000,en,135.413856,136.0,6.4,4948,2011,5,14,Spring,Rob Marshall,1,Adventure
225000000,en,52.035179,106.0,6.2,4160,2012,5,23,Spring,Barry Sonnenfeld,1,Action
250000000,en,120.965743,144.0,7.1,4760,2014,12,10,Winter,Peter Jackson,1,Action
215000000,en,89.866276,136.0,6.5,6586,2012,6,27,Summer,Marc Webb,1,Action
200000000,en,37.668301,140.0,6.2,1398,2010,5,12,Spring,Ridley Scott,0,Action
250000000,en,94.370564,161.0,7.6,4524,2013,12,11,Winter,Peter Jackson,1,Adventure
180000000,en,42.990906,113.0,5.8,1303,2007,12,4,Winter,Chris Weitz,1,Adventure
207000000,en,61.22601,187.0,6.6,2337,2005,12,14,Winter,Peter Jackson,1,Adventure
200000000,en,100.025899,194.0,7.5,7562,1997,11,18,Fall,James Cameron,1,Drama
250000000,en,198.372395,147.0,7.1,7241,2016,4,27,Spring,Anthony Russo,1,Adventure
209000000,en,64.928382,131.0,5.5,2114,2012,4,11,Spring,Peter Berg,0,Thriller
150000000,en,418.708552,124.0,6.5,8662,2015,6,9,Summer,Colin Trevorrow,1,Action
200000000,en,93.004993,143.0,6.9,7604,2012,10,25,Fall,Sam Mendes,1,Action
200000000,en,35.149586,127.0,6.7,4321,2004,6,25,Summer,Sam Raimi,1,Action
200000000,en,77.68208,130.0,6.8,8806,2013,4,18,Spring,Shane Black,1,Action
200000000,en,78.530105,108.0,6.4,4645,2010,3,3,Spring,Tim Burton,1,Family
210000000,en,3.857526,104.0,6.3,3525,2006,5,24,Spring,Brett Ratner,1,Adventure
200000000,en,89.186492,104.0,7.0,3528,2013,6,20,Summer,Dan Scanlon,1,Animation
